商品名,加盟店名,ERAWAN,受注月,開始年月,終了年月,ステータス,単価（円/税抜）,備考,_BATCH_ROW_NUM_,_BATCH_FILE_NAME_,_BATCH_FILE_ID_,_BATCH_ID_,_BATCH_LAST_RUN_
チャットボット,岡山南店,4034,"2024""年""05""月""","2024""年""07""月""","2025""年""01""月""",終了,10000,,1,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,越谷店,4034,"2024""年""03""月""","2024""年""03""月""","2024""年""12""月""",終了,10000,外部サイト,2,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,東三河店,4034,"2024""年""06""月""","2024""年""07""月""","2024""年""11""月""",終了,10000,外部サイト,3,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,東千葉店,4034,"2024""年""05""月""","2024""年""05""月""","2024""年""11""月""",終了,10000,,4,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,西尾張中央店,4034,"2024""年""04""月""","2024""年""04""月""","2025""年""01""月""",終了,10000,外部サイト,5,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,高井田店,4034,"2024""年""04""月""","2024""年""04""月""","2025""年""08""月""",終了,10000,,6,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,豊田永覚店,4034,"2024""年""05""月""","2024""年""05""月""",,稼働中,10000,,7,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,京都南店,4034,"2024""年""05""月""","2024""年""05""月""","2025""年""04""月""",終了,10000,外部サイト,8,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,蓮田店,4034,"2024""年""05""月""","2024""年""05""月""","2025""年""04""月""",終了,10000,,9,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,三木店,4034,"2024""年""05""月""","2024""年""05""月""","2025""年""06""月""",終了,10000,,10,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,加古川北店,4034,"2024""年""05""月""","2024""年""05""月""",,稼働中,10000,外部サイト,11,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,岡谷下諏訪店,4034,"2024""年""05""月""","2024""年""05""月""","2025""年""06""月""",終了,10000,,12,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,筑西店,4034,"2024""年""06""月""","2024""年""06""月""","2025""年""06""月""",終了,10000,,13,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,土浦店,4034,"2024""年""06""月""","2024""年""06""月""","2025""年""10""月""",終了,10000,,14,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,町田森野店,4034,"2024""年""06""月""","2024""年""08""月""",,稼働中,10000,,15,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,郡山店,4034,"2024""年""08""月""","2024""年""08""月""","2025""年""06""月""",終了,10000,福島県店舗はアカウント共有,16,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,いわき店,4034,"2024""年""08""月""","2024""年""08""月""",,稼働中,10000,,17,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,福島店,4034,"2024""年""08""月""","2024""年""08""月""",,稼働中,10000,,18,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
