加盟店名,受注月,請求開始年月,終了年月,ステータス,単価（円/税抜）,備考,_BATCH_ROW_NUM_,_BATCH_FILE_NAME_,_BATCH_FILE_ID_,_BATCH_ID_,_BATCH_LAST_RUN_
市川行徳店,"2025""年""05""月""","2025""年""06""月""","2026""年""02""月""",終了,30000,2026年3月解約,1,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,206.0,2026-04-30 17:22:08
丸亀店,"2025""年""05""月""",,,開始前,,,2,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,206.0,2026-04-30 17:22:08
高松国道11号店,"2025""年""05""月""",,,開始前,,,3,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,206.0,2026-04-30 17:22:08
岡谷下諏訪店,"2025""年""05""月""","2025""年""06""月""","2025""年""06""月""",終了,30000,2025年7月休止,4,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,206.0,2026-04-30 17:22:08
飯田店,"2025""年""05""月""","2025""年""06""月""",,稼働中,30000,,5,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,206.0,2026-04-30 17:22:08
富士吉田店,"2025""年""05""月""","2025""年""06""月""",,稼働中,30000,,6,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,206.0,2026-04-30 17:22:08
多治見店,"2025""年""05""月""","2025""年""06""月""",,稼働中,30000,,7,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,206.0,2026-04-30 17:22:08
三木店,"2025""年""05""月""",,,開始前,,,8,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,206.0,2026-04-30 17:22:08
明石駅前店,"2025""年""05""月""","2025""年""06""月""",,稼働中,30000,,9,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,206.0,2026-04-30 17:22:08
半田インター店,"2025""年""05""月""","2025""年""06""月""",,稼働中,30000,,10,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,206.0,2026-04-30 17:22:08
揖斐大垣店,"2025""年""05""月""","2025""年""06""月""","2025""年""07""月""",終了,30000,2025年8月解約,11,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,206.0,2026-04-30 17:22:08
花巻店,"2025""年""05""月""",,,開始前,,,12,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,206.0,2026-04-30 17:22:08
八戸店,"2025""年""05""月""","2025""年""06""月""","2025""年""08""月""",終了,30000,2025年9月休止,13,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,206.0,2026-04-30 17:22:08
